max_strategy, risky_strategy, uniform_strategy, safe_strategy, min_strategy
2402, 69, 1024, 567, 1000
813, 870, 555, 1426, 1000
128, 656, 1345, 1706, 1000
2196, 199, 707, 511, 1000
403, 640, 1304, 1582, 1000
3971, 292, 1925, 1667, 1000
804, 2114, 582, 1448, 1000
2014, 1517, 1217, 287, 1000
527, 373, 1253, 911, 1000
385, 1083, 869, 1247, 1000
1344, 2073, 1339, 1021, 1000
2876, 597, 774, 1062, 1000
99, 1840, 1753, 828, 1000
1248, 92, 1467, 654, 1000
1276, 1340, 829, 533, 1000
229, 67, 958, 668, 1000
1835, 505, 529, 507, 1000
2425, 955, 1077, 661, 1000
223, 481, 445, 955, 1000
1247, 1068, 1563, 676, 1000
2209, 1053, 1477, 687, 1000
192, 520, 343, 553, 1000
225, 1688, 1073, 914, 1000
1641, 377, 1638, 1305, 1000
299, 1542, 654, 464, 1000
504, 1138, 680, 293, 1000
90, 506, 695, 548, 1000
11, 742, 2132, 1088, 1000
158, 32, 128, 1060, 1000
4000, 167, 589, 717, 1000
349, 1172, 760, 1286, 1000
801, 985, 817, 672, 1000
1320, 477, 1175, 806, 1000
789, 1261, 233, 740, 1000
703, 1282, 619, 969, 1000
665, 386, 2121, 530, 1000
454, 1038, 407, 1509, 1000
263, 1240, 692, 1353, 1000
486, 1046, 177, 290, 1000
839, 325, 987, 1094, 1000
108, 427, 456, 904, 1000
5129, 2271, 722, 863, 1000
566, 539, 955, 1364, 1000
1307, 730, 418, 974, 1000
1539, 1248, 726, 466, 1000
315, 23, 740, 626, 1000
1729, 561, 1950, 1398, 1000
1714, 560, 1043, 418, 1000
362, 938, 2029, 538, 1000
1754, 242, 899, 1139, 1000
1319, 1728, 1393, 1777, 1000
558, 1682, 598, 357, 1000
1043, 1485, 944, 1224, 1000
1131, 758, 458, 571, 1000
110, 747, 661, 1635, 1000
240, 551, 1328, 489, 1000
870, 729, 1139, 1036, 1000
107, 704, 1371, 1492, 1000
539, 1078, 677, 698, 1000
2301, 802, 1222, 1550, 1000
347, 574, 89, 646, 1000
1207, 1946, 1209, 1093, 1000
242, 351, 1618, 1293, 1000
3882, 485, 727, 531, 1000
1255, 291, 577, 1282, 1000
655, 338, 428, 742, 1000
805, 324, 934, 1549, 1000
433, 1060, 381, 1252, 1000
5048, 795, 476, 1487, 1000
426, 1716, 1512, 1430, 1000
376, 225, 419, 1335, 1000
780, 888, 934, 422, 1000
1924, 124, 357, 205, 1000
383, 1763, 611, 761, 1000
1771, 1162, 914, 1440, 1000
2254, 1282, 117, 1761, 1000
234, 1300, 842, 756, 1000
1089, 355, 1352, 571, 1000
154, 2269, 301, 1405, 1000
1957, 598, 1074, 594, 1000
934, 1478, 1429, 706, 1000
2071, 160, 138, 1062, 1000
1039, 701, 2026, 180, 1000
36, 2007, 579, 725, 1000
1258, 1698, 1124, 889, 1000
32, 1049, 1792, 1040, 1000
496, 160, 619, 1248, 1000
1126, 386, 1474, 587, 1000
891, 439, 1782, 1231, 1000
697, 1144, 867, 822, 1000
1191, 2527, 1023, 995, 1000
318, 513, 689, 591, 1000
397, 501, 956, 756, 1000
718, 1662, 1276, 1732, 1000
937, 744, 276, 1204, 1000
161, 504, 495, 524, 1000
2115, 1730, 188, 774, 1000
2163, 861, 269, 278, 1000
597, 142, 921, 710, 1000
2352, 179, 971, 575, 1000
